exam	section	number	answer_1	answer_2	answer_3	answer_4
117	A	001	ABE			
117	A	002	AE			
117	A	003	ACD			
117	A	004	D			
117	A	005	D			
117	A	006	AB			
117	A	007	A			
117	A	008	E			
117	A	009	B			
117	A	010	ACD			
117	A	011	B			
117	A	012	C			
117	A	013	C			
117	A	014	B			
117	A	015	C			
117	A	016	C			
117	A	017	CE			
117	A	018	D			
117	A	019	C			
117	A	020	A			
117	A	021	C			
117	A	022	B			
117	A	023	C			
117	A	024	A			
117	A	025	B			
117	A	026	E			
117	A	027	E			
117	A	028	D			
117	A	029	A			
117	A	030	D			
117	A	031	D			
117	A	032	E			
117	A	033	E			
117	A	034	B			
117	A	035	C			
117	A	036	C			
117	A	037	B			
117	A	038	C			
117	A	039	D			
117	A	040	A			
117	A	041	A			
117	A	042	D			
117	A	043	BC			
117	A	044	AC			
117	A	045	AB			
117	A	046	A			
117	A	047	D			
117	A	048	A			
117	A	049	A			
117	A	050	B			
117	A	051	E			
117	A	052	E			
117	A	053	DE			
117	A	054	A			
117	A	055	C			
117	A	056	E			
117	A	057	C			
117	A	058	ACE			
117	A	059	C			
117	A	060	E			
117	A	061	B			
117	A	062	C			
117	A	063	D			
117	A	064	AE			
117	A	065	C			
117	A	066	E			
117	A	067	C			
117	A	068	A			
117	A	069	E			
117	A	070	E			
117	A	071	AE			
117	A	072	A			
117	A	073	AB			
117	A	074	B			
117	A	075	H			
117	B	001	C			
117	B	002	B			
117	B	003	D			
117	B	004	D			
117	B	005	B			
117	B	006	D			
117	B	007	C			
117	B	008	E			
117	B	009	A			
117	B	010	D			
117	B	011	B			
117	B	012	C			
117	B	013	B			
117	B	014	B			
117	B	015	C			
117	B	016	C			
117	B	017	D			
117	B	018	D			
117	B	019	D			
117	B	020	D			
117	B	021	A			
117	B	022	E			
117	B	023	B			
117	B	024	C			
117	B	025	E			
117	B	026	A			
117	B	027	D			
117	B	028	D			
117	B	029	D			
117	B	030	E			
117	B	031	D			
117	B	032	A			
117	B	033	D			
117	B	034	E			
117	B	035	C			
117	B	036	B			
117	B	037	E			
117	B	038	B			
117	B	039	C			
117	B	040	B			
117	B	041	D			
117	B	042	A			
117	B	043	D			
117	B	044	C			
117	B	045	C			
117	B	046	C			
117	B	047	D			
117	B	048	C			
117	B	049	A			
117	B	050	E			
117	C	001	BCE			
117	C	002	A			
117	C	003	B			
117	C	004	D			
117	C	005	D			
117	C	006	E			
117	C	007	E			
117	C	008	A			
117	C	009	C			
117	C	010	B			
117	C	011	C			
117	C	012	D			
117	C	013	CD			
117	C	014	D			
117	C	015				
117	C	016	D			
117	C	017	B			
117	C	018	E			
117	C	019	B			
117	C	020	B			
117	C	021	BD			
117	C	022	A			
117	C	023	C			
117	C	024	D			
117	C	025	D			
117	C	026	C			
117	C	027	B			
117	C	028	A			
117	C	029	C			
117	C	030	E			
117	C	031	D			
117	C	032	B			
117	C	033	BE			
117	C	034	D			
117	C	035	E			
117	C	036	A			
117	C	037	ACE			
117	C	038	BDE			
117	C	039	AE			
117	C	040	E			
117	C	041	D			
117	C	042	B			
117	C	043	D			
117	C	044	D			
117	C	045	C			
117	C	046	D			
117	C	047	E			
117	C	048	B			
117	C	049	B			
117	C	050	E			
117	C	051	A			
117	C	052	E			
117	C	053	D			
117	C	054	C			
117	C	055	B			
117	C	056	B			
117	C	057	E			
117	C	058	DE			
117	C	059	A			
117	C	060				
117	C	061	B			
117	C	062	D			
117	C	063	CD			
117	C	064	D			
117	C	065	BCE			
117	C	066	B			
117	C	067	BE			
117	C	068	B			
117	C	069	DE			
117	C	070	B			
117	C	071	C			
117	C	072	E			
117	C	073	B			
117	C	074	E			
117	C	075	11			
117	D	001	B			
117	D	002	B			
117	D	003	A			
117	D	004	E			
117	D	005	A			
117	D	006	D			
117	D	007	DE			
117	D	008	B			
117	D	009	E			
117	D	010	B			
117	D	011	AB			
117	D	012	ABE			
117	D	013	D			
117	D	014	E			
117	D	015	B			
117	D	016	D			
117	D	017	A			
117	D	018	A			
117	D	019	E			
117	D	020	E			
117	D	021	C			
117	D	022	D			
117	D	023	B			
117	D	024	E			
117	D	025	ADE			
117	D	026	E			
117	D	027	C			
117	D	028	D			
117	D	029	B			
117	D	030	B			
117	D	031	C			
117	D	032	ABE			
117	D	033	A			
117	D	034	E			
117	D	035	B			
117	D	036	E			
117	D	037	D			
117	D	038				
117	D	039	C			
117	D	040	D			
117	D	041	C			
117	D	042	A			
117	D	043	E			
117	D	044	D			
117	D	045	AD			
117	D	046	E			
117	D	047	DE			
117	D	048	AC			
117	D	049	A			
117	D	050	C			
117	D	051	DE			
117	D	052	D			
117	D	053				
117	D	054	D			
117	D	055	B			
117	D	056	A			
117	D	057	B			
117	D	058	A			
117	D	059	A			
117	D	060	D			
117	D	061	E			
117	D	062	BC			
117	D	063	D			
117	D	064	D			
117	D	065	C			
117	D	066	D			
117	D	067	D			
117	D	068	E			
117	D	069	D			
117	D	070	D			
117	D	071	C			
117	D	072	C			
117	D	073	D			
117	D	074	B			
117	D	075	A			
117	E	001	E			
117	E	002	C			
117	E	003	E			
117	E	004	C			
117	E	005	C			
117	E	006	E			
117	E	007	A			
117	E	008	A			
117	E	009	D			
117	E	010	A			
117	E	011	C			
117	E	012	C			
117	E	013	C			
117	E	014	E			
117	E	015	E			
117	E	016	C			
117	E	017	E			
117	E	018	C			
117	E	019	B			
117	E	020	E			
117	E	021	E			
117	E	022	B			
117	E	023	B			
117	E	024	D			
117	E	025	C			
117	E	026	A			
117	E	027	D			
117	E	028	D			
117	E	029	D			
117	E	030	A			
117	E	031	B			
117	E	032	C			
117	E	033	E			
117	E	034	E			
117	E	035	A			
117	E	036	D			
117	E	037	C			
117	E	038	B			
117	E	039	B			
117	E	040	C			
117	E	041	A			
117	E	042	D			
117	E	043	E			
117	E	044	E			
117	E	045	A			
117	E	046	A			
117	E	047	B			
117	E	048	B			
117	E	049	B			
117	E	050	C			
117	F	001	C			
117	F	002	CD			
117	F	003	A			
117	F	004	D			
117	F	005	ACE			
117	F	006	D			
117	F	007	AC			
117	F	008	D			
117	F	009	C			
117	F	010	AE			
117	F	011	D			
117	F	012	B			
117	F	013	D			
117	F	014	C			
117	F	015	B			
117	F	016	A			
117	F	017	E			
117	F	018	BE			
117	F	019	B			
117	F	020	D			
117	F	021	C			
117	F	022	A			
117	F	023	ABC			
117	F	024	E			
117	F	025	AB			
117	F	026	D			
117	F	027	C			
117	F	028	B			
117	F	029	E			
117	F	030	E			
117	F	031	BD			
117	F	032	D			
117	F	033	C			
117	F	034	A			
117	F	035	E			
117	F	036	C			
117	F	037	E			
117	F	038	D			
117	F	039	C			
117	F	040	B			
117	F	041	D			
117	F	042				
117	F	043	E			
117	F	044	E			
117	F	045	B			
117	F	046	ABC			
117	F	047	AE			
117	F	048	A			
117	F	049	B			
117	F	050	A			
117	F	051	A			
117	F	052	BCD			
117	F	053	C			
117	F	054	C			
117	F	055	B			
117	F	056	AC			
117	F	057	E			
117	F	058	D			
117	F	059	E			
117	F	060	D			
117	F	061	D			
117	F	062	A			
117	F	063	E			
117	F	064	E			
117	F	065	C			
117	F	066	C			
117	F	067	ACD			
117	F	068	A			
117	F	069	E			
117	F	070	ABC			
117	F	071	65			
117	F	072	B			
117	F	073	A			
117	F	074	E			
117	F	075	14			
