exam	section	number	answer_1	answer_2	answer_3	answer_4
116	A	001	C			
116	A	002	C			
116	A	003	A			
116	A	004	D			
116	A	005	C			
116	A	006	E			
116	A	007	D			
116	A	008	D			
116	A	009	D			
116	A	010	D			
116	A	011	E			
116	A	012	E			
116	A	013	BE			
116	A	014	CD			
116	A	015	CE			
116	A	016	C			
116	A	017	E			
116	A	018	A			
116	A	019	D			
116	A	020	B			
116	A	021	C			
116	A	022	C			
116	A	023	E			
116	A	024	C			
116	A	025	C			
116	A	026	E			
116	A	027	B			
116	A	028	A			
116	A	029	A			
116	A	030	A			
116	A	031	B			
116	A	032	E			
116	A	033	E			
116	A	034				
116	A	035	E			
116	A	036	A			
116	A	037	C			
116	A	038	E			
116	A	039	B			
116	A	040	B			
116	A	041	E			
116	A	042	A			
116	A	043	C			
116	A	044	E			
116	A	045	D			
116	A	046	B			
116	A	047	E			
116	A	048	E			
116	A	049	A			
116	A	050	A			
116	A	051	C			
116	A	052	D			
116	A	053	B			
116	A	054	E			
116	A	055	E			
116	A	056	B			
116	A	057	A			
116	A	058	B			
116	A	059	C			
116	A	060	A			
116	A	061	A			
116	A	062	A			
116	A	063	E			
116	A	064	E			
116	A	065	BE			
116	A	066	AE			
116	A	067	AD			
116	A	068	DE			
116	A	069	AB			
116	A	070	BE			
116	A	071	ABC	ABD	ACD	BCD
116	A	072	ABD			
116	A	073	ACE			
116	A	074	ABD			
116	A	075	ACD			
116	B	001	D			
116	B	002	C			
116	B	003	E			
116	B	004	C			
116	B	005	D			
116	B	006	D			
116	B	007	E			
116	B	008	B			
116	B	009	E			
116	B	010	E			
116	B	011	C			
116	B	012	C			
116	B	013	D			
116	B	014	D			
116	B	015	D			
116	B	016	E			
116	B	017	C			
116	B	018	C			
116	B	019	E			
116	B	020	B			
116	B	021	B			
116	B	022	C			
116	B	023	E			
116	B	024	A			
116	B	025	E			
116	B	026	D			
116	B	027	C			
116	B	028	B			
116	B	029	C			
116	B	030	C			
116	B	031	B			
116	B	032	D			
116	B	033	C			
116	B	034	B			
116	B	035	D			
116	B	036	C			
116	B	037	D			
116	B	038	B			
116	B	039	B			
116	B	040	A			
116	B	041	D			
116	B	042	A			
116	B	043				
116	B	044	C			
116	B	045	E			
116	B	046	C			
116	B	047	A			
116	B	048	A			
116	B	049	B			
116	B	050	21			
116	C	001	D			
116	C	002	D			
116	C	003	C			
116	C	004	B			
116	C	005	B			
116	C	006	C			
116	C	007	E			
116	C	008	D			
116	C	009	E			
116	C	010	A			
116	C	011	D			
116	C	012	B			
116	C	013	E			
116	C	014	B			
116	C	015	A			
116	C	016	D			
116	C	017	A			
116	C	018	B			
116	C	019	B			
116	C	020	B			
116	C	021	D			
116	C	022	B			
116	C	023	C			
116	C	024	C			
116	C	025	A			
116	C	026	B			
116	C	027	BC			
116	C	028	AD			
116	C	029	CD			
116	C	030	CE			
116	C	031	BD			
116	C	032	DE			
116	C	033	BC			
116	C	034	AE			
116	C	035	BCE			
116	C	036				
116	C	037	D			
116	C	038	B			
116	C	039	D			
116	C	040	B			
116	C	041	C			
116	C	042	E			
116	C	043	D			
116	C	044	A			
116	C	045	B			
116	C	046	A			
116	C	047	D			
116	C	048	D			
116	C	049	D			
116	C	050	D			
116	C	051	C			
116	C	052	E			
116	C	053	C			
116	C	054	C			
116	C	055	E			
116	C	056	AE			
116	C	057	BC			
116	C	058	AB			
116	C	059	CE			
116	C	060	D			
116	C	061	D			
116	C	062	B			
116	C	063	D			
116	C	064	C			
116	C	065	E			
116	C	066	C			
116	C	067	E			
116	C	068	AE			
116	C	069	AE			
116	C	070	D			
116	C	071	ABE			
116	C	072	BE			
116	C	073	E			
116	C	074	A			
116	C	075	325			
116	D	001	C			
116	D	002	A			
116	D	003	C			
116	D	004	D			
116	D	005	B			
116	D	006	C			
116	D	007	D			
116	D	008	E			
116	D	009	C			
116	D	010	D			
116	D	011	CE			
116	D	012	BCD			
116	D	013	ABC			
116	D	014	BCD			
116	D	015	ABD			
116	D	016	A			
116	D	017	B			
116	D	018	A			
116	D	019	C			
116	D	020	E			
116	D	021	C			
116	D	022	A			
116	D	023	D			
116	D	024	D			
116	D	025	A			
116	D	026	D			
116	D	027	E			
116	D	028	E			
116	D	029	A			
116	D	030	A			
116	D	031	B			
116	D	032	A			
116	D	033	D			
116	D	034	B			
116	D	035	A			
116	D	036	A			
116	D	037	C			
116	D	038	B			
116	D	039	D			
116	D	040	D			
116	D	041	B			
116	D	042	B			
116	D	043	D			
116	D	044	D			
116	D	045	E			
116	D	046	C			
116	D	047	C			
116	D	048	C			
116	D	049	E			
116	D	050	C			
116	D	051	C			
116	D	052	A			
116	D	053	D			
116	D	054	A			
116	D	055	D			
116	D	056	C			
116	D	057	B			
116	D	058	A			
116	D	059	D			
116	D	060	D			
116	D	061	E			
116	D	062	D			
116	D	063	A			
116	D	064				
116	D	065	C			
116	D	066	BD			
116	D	067	CE			
116	D	068	CE			
116	D	069	CD			
116	D	070	BE			
116	D	071	AB			
116	D	072	ABE			
116	D	073	ABE			
116	D	074	ABD			
116	D	075	ABE			
116	E	001	C			
116	E	002	E			
116	E	003	B			
116	E	004	D			
116	E	005	D			
116	E	006	B			
116	E	007	A			
116	E	008	A			
116	E	009	C			
116	E	010	B			
116	E	011	E			
116	E	012	D			
116	E	013	E			
116	E	014	C			
116	E	015	C			
116	E	016	B			
116	E	017	A			
116	E	018	D			
116	E	019	C			
116	E	020	B			
116	E	021	B			
116	E	022	D			
116	E	023	C			
116	E	024	B			
116	E	025	A			
116	E	026	D			
116	E	027	B			
116	E	028	C			
116	E	029	B			
116	E	030	E			
116	E	031	E			
116	E	032	B			
116	E	033	A			
116	E	034	C			
116	E	035	C			
116	E	036	C			
116	E	037	C			
116	E	038	C			
116	E	039	E			
116	E	040	D			
116	E	041	A			
116	E	042	C			
116	E	043	E			
116	E	044	C			
116	E	045	B			
116	E	046	D			
116	E	047	A			
116	E	048	C			
116	E	049	B			
116	E	050	A			
116	F	001	A			
116	F	002	C			
116	F	003	C			
116	F	004	D			
116	F	005	D			
116	F	006	B			
116	F	007	E			
116	F	008	A			
116	F	009	B			
116	F	010	A			
116	F	011	A			
116	F	012	C			
116	F	013	E			
116	F	014	C			
116	F	015	E			
116	F	016	D			
116	F	017	C			
116	F	018	A			
116	F	019	D			
116	F	020	A			
116	F	021	C			
116	F	022	B			
116	F	023	E			
116	F	024	E			
116	F	025	A			
116	F	026	B			
116	F	027	AB			
116	F	028	CE			
116	F	029	DE			
116	F	030	DE			
116	F	031	AC			
116	F	032	BC			
116	F	033	ABE			
116	F	034	ABC			
116	F	035	C			
116	F	036	E			
116	F	037	A			
116	F	038	C			
116	F	039	C			
116	F	040	A			
116	F	041	C			
116	F	042	C			
116	F	043	B			
116	F	044	C			
116	F	045	B			
116	F	046	B			
116	F	047	A			
116	F	048	B			
116	F	049	E			
116	F	050	A			
116	F	051	B			
116	F	052	E			
116	F	053	C			
116	F	054	B			
116	F	055	AD			
116	F	056	AC			
116	F	057	BE			
116	F	058	BDE			
116	F	059	D			
116	F	060	E			
116	F	061	D			
116	F	062	C			
116	F	063	B			
116	F	064	AC			
116	F	065	D			
116	F	066	A			
116	F	067	BE			
116	F	068	D			
116	F	069	BE			
116	F	070	D			
116	F	071	CD			
116	F	072	A			
116	F	073	E			
116	F	074	04			
116	F	075	D			
