exam	section	number	answer_1	answer_2	answer_3	answer_4
118	A	001	B			
118	A	002	E			
118	A	003	C			
118	A	004	A			
118	A	005	B			
118	A	006	D			
118	A	007	B			
118	A	008	A			
118	A	009	D			
118	A	010	A			
118	A	011	E			
118	A	012	E			
118	A	013	BE			
118	A	014	ABC			
118	A	015	C			
118	A	016	D			
118	A	017	E			
118	A	018	E			
118	A	019	D			
118	A	020	B			
118	A	021	D			
118	A	022	E			
118	A	023	A			
118	A	024	A			
118	A	025	E			
118	A	026	C			
118	A	027	A			
118	A	028	D			
118	A	029	A			
118	A	030	C			
118	A	031	E			
118	A	032	A			
118	A	033	C			
118	A	034	D			
118	A	035	E			
118	A	036	C			
118	A	037	A			
118	A	038	D			
118	A	039	C			
118	A	040	A			
118	A	041	A			
118	A	042	B			
118	A	043	E			
118	A	044	A			
118	A	045	B			
118	A	046	E			
118	A	047	E			
118	A	048	B			
118	A	049	D			
118	A	050	C			
118	A	051	D			
118	A	052	B			
118	A	053	D			
118	A	054	A			
118	A	055	A			
118	A	056	C			
118	A	057	B			
118	A	058	C			
118	A	059	A			
118	A	060	B			
118	A	061	E			
118	A	062	A			
118	A	063	E			
118	A	064	B			
118	A	065	E			
118	A	066	D			
118	A	067	A			
118	A	068	AD			
118	A	069	AD			
118	A	070	BE			
118	A	071	AB			
118	A	072	BCE			
118	A	073	ACD			
118	A	074	BDE			
118	A	075	600			
118	B	001	D			
118	B	002	E			
118	B	003	D			
118	B	004	E			
118	B	005	E			
118	B	006	B			
118	B	007	C			
118	B	008	C			
118	B	009	E			
118	B	010	E			
118	B	011	B			
118	B	012	E			
118	B	013	C			
118	B	014	E			
118	B	015	B			
118	B	016	A			
118	B	017	B			
118	B	018	C			
118	B	019	A			
118	B	020	C			
118	B	021	C			
118	B	022	B			
118	B	023	D			
118	B	024	D			
118	B	025	E			
118	B	026	E			
118	B	027	D			
118	B	028	D			
118	B	029	A			
118	B	030	C			
118	B	031	E			
118	B	032	E			
118	B	033	E			
118	B	034	C			
118	B	035	A			
118	B	036	A			
118	B	037	D			
118	B	038	E			
118	B	039	D			
118	B	040	C			
118	B	041	E			
118	B	042	E			
118	B	043	A			
118	B	044	D			
118	B	045	D			
118	B	046	B			
118	B	047	C			
118	B	048	E			
118	B	049	A			
118	B	050	A			
118	C	001	D			
118	C	002	E			
118	C	003	E			
118	C	004	A			
118	C	005	B			
118	C	006	C			
118	C	007	B			
118	C	008	D			
118	C	009	D			
118	C	010	E			
118	C	011	D			
118	C	012	B			
118	C	013	E			
118	C	014	B			
118	C	015	E			
118	C	016	E			
118	C	017	C			
118	C	018	B			
118	C	019	B			
118	C	020	A			
118	C	021	A			
118	C	022	A			
118	C	023	C			
118	C	024	D			
118	C	025	D			
118	C	026	E			
118	C	027	C			
118	C	028	A			
118	C	029	E			
118	C	030	CE			
118	C	031	BC			
118	C	032	CD			
118	C	033	DE			
118	C	034	CDE			
118	C	035	A			
118	C	036	D			
118	C	037	D			
118	C	038	A			
118	C	039	B			
118	C	040	C			
118	C	041	C			
118	C	042	B			
118	C	043	C			
118	C	044	B			
118	C	045	D			
118	C	046	E			
118	C	047	B			
118	C	048	D			
118	C	049	A			
118	C	050	A			
118	C	051	B			
118	C	052	E			
118	C	053	B			
118	C	054	B			
118	C	055	C			
118	C	056	D			
118	C	057	D			
118	C	058	AC			
118	C	059	AE			
118	C	060	A			
118	C	061	A			
118	C	062	BC			
118	C	063	D			
118	C	064	C			
118	C	065	D			
118	C	066	CE			
118	C	067	A			
118	C	068	E			
118	C	069	C			
118	C	070	A			
118	C	071	B			
118	C	072	A			
118	C	073	341			
118	C	074	A			
118	C	075	40			
118	D	001	E			
118	D	002	A			
118	D	003	C			
118	D	004	A			
118	D	005	B			
118	D	006	E			
118	D	007	A			
118	D	008	E			
118	D	009	D			
118	D	010	C			
118	D	011	E			
118	D	012	BD			
118	D	013	ACD			
118	D	014	ABD			
118	D	015	ADE			
118	D	016	D			
118	D	017	E			
118	D	018	C			
118	D	019	B			
118	D	020	D			
118	D	021	B			
118	D	022	E			
118	D	023	C			
118	D	024	B			
118	D	025	C			
118	D	026	D			
118	D	027	A			
118	D	028	B			
118	D	029	C			
118	D	030	E			
118	D	031	E			
118	D	032	C			
118	D	033	D			
118	D	034	C			
118	D	035	C			
118	D	036	E			
118	D	037	A			
118	D	038	B			
118	D	039	C			
118	D	040	B			
118	D	041	E			
118	D	042	B			
118	D	043	D			
118	D	044	B			
118	D	045	D			
118	D	046	B			
118	D	047	E			
118	D	048	E			
118	D	049	A			
118	D	050	B			
118	D	051	E			
118	D	052	A			
118	D	053	E			
118	D	054	D			
118	D	055	C			
118	D	056	B			
118	D	057	E			
118	D	058	B			
118	D	059	E			
118	D	060	E			
118	D	061	D			
118	D	062	D			
118	D	063	A			
118	D	064	D			
118	D	065	D			
118	D	066	B			
118	D	067	AC			
118	D	068	CD			
118	D	069	CD			
118	D	070	AD			
118	D	071	BE			
118	D	072	AC			
118	D	073	CD			
118	D	074	ABD			
118	D	075	9.6			
118	E	001	E			
118	E	002	B			
118	E	003	E			
118	E	004	E			
118	E	005	D			
118	E	006	C			
118	E	007	D			
118	E	008	A			
118	E	009	B			
118	E	010	E			
118	E	011	D			
118	E	012	B			
118	E	013	C			
118	E	014	E			
118	E	015	C			
118	E	016	A			
118	E	017	E			
118	E	018	E			
118	E	019	D			
118	E	020	E			
118	E	021	A			
118	E	022	D			
118	E	023	A			
118	E	024	D			
118	E	025	D			
118	E	026	A			
118	E	027	D			
118	E	028	A			
118	E	029	C			
118	E	030	A			
118	E	031	A			
118	E	032	E			
118	E	033	C			
118	E	034	E			
118	E	035	D			
118	E	036	A			
118	E	037	D			
118	E	038	E			
118	E	039	B			
118	E	040	E			
118	E	041	D			
118	E	042	B			
118	E	043	E			
118	E	044	B			
118	E	045	C			
118	E	046	D			
118	E	047	E			
118	E	048	E			
118	E	049	A			
118	E	050	A			
118	F	001	E			
118	F	002	B			
118	F	003	E			
118	F	004	C			
118	F	005	D			
118	F	006	B			
118	F	007	D			
118	F	008	A			
118	F	009	A			
118	F	010	C			
118	F	011	D			
118	F	012	A			
118	F	013	A			
118	F	014	A			
118	F	015	E			
118	F	016	C			
118	F	017	C			
118	F	018	D			
118	F	019	E			
118	F	020	B			
118	F	021	B			
118	F	022	D			
118	F	023	A			
118	F	024	C			
118	F	025	E			
118	F	026	E			
118	F	027	C			
118	F	028	C			
118	F	029	C			
118	F	030	D			
118	F	031	CE			
118	F	032	BC			
118	F	033	CE			
118	F	034	BE			
118	F	035	CD			
118	F	036	D			
118	F	037	B			
118	F	038	B			
118	F	039	D			
118	F	040	C			
118	F	041	C			
118	F	042	B			
118	F	043	B			
118	F	044	E			
118	F	045	B			
118	F	046	D			
118	F	047	E			
118	F	048	E			
118	F	049	E			
118	F	050	E			
118	F	051	D			
118	F	052	E			
118	F	053	C			
118	F	054	C			
118	F	055	E			
118	F	056	D			
118	F	057	D			
118	F	058	CD			
118	F	059	ADE			
118	F	060	BCE			
118	F	061	B			
118	F	062	D			
118	F	063	A			
118	F	064	B			
118	F	065	D			
118	F	066	D			
118	F	067	DE			
118	F	068	D			
118	F	069	AD			
118	F	070	B			
118	F	071	B			
118	F	072	A			
118	F	073	C			
118	F	074	B			
118	F	075	A			
