exam	section	number	answer_1	answer_2	answer_3	answer_4
120	A	001	A			
120	A	002	D			
120	A	003	C			
120	A	004	E			
120	A	005	E			
120	A	006	E			
120	A	007	E			
120	A	008	E			
120	A	009	B			
120	A	010	B			
120	A	011	D			
120	A	012	A			
120	A	013	CE			
120	A	014	BE			
120	A	015	D			
120	A	016	B			
120	A	017	D			
120	A	018	D			
120	A	019	C			
120	A	020	D			
120	A	021	B			
120	A	022	B			
120	A	023	E			
120	A	024	E			
120	A	025	A			
120	A	026	B			
120	A	027	D			
120	A	028	E			
120	A	029	B			
120	A	030	A			
120	A	031	D			
120	A	032	D			
120	A	033	E			
120	A	034	C			
120	A	035	C			
120	A	036	C			
120	A	037	B			
120	A	038	A			
120	A	039	A			
120	A	040	D			
120	A	041	C			
120	A	042	C			
120	A	043	D			
120	A	044	E			
120	A	045	D			
120	A	046	A			
120	A	047	A			
120	A	048	A			
120	A	049	B			
120	A	050	A			
120	A	051	A			
120	A	052	D			
120	A	053	C			
120	A	054	D			
120	A	055	B			
120	A	056	D			
120	A	057	B			
120	A	058	D			
120	A	059	C			
120	A	060	B			
120	A	061	A			
120	A	062	C			
120	A	063	A			
120	A	064	B			
120	A	065	E			
120	A	066	C			
120	A	067	A			
120	A	068	AC			
120	A	069	AB			
120	A	070	AC			
120	A	071	AB			
120	A	072	AE			
120	A	073	CD			
120	A	074	040			
120	A	075	315			
120	B	001	E			
120	B	002	D			
120	B	003	D			
120	B	004	E			
120	B	005	E			
120	B	006	C			
120	B	007	C			
120	B	008	C			
120	B	009	D			
120	B	010	B			
120	B	011	E			
120	B	012	B			
120	B	013	B			
120	B	014	E			
120	B	015	A			
120	B	016	E			
120	B	017	E			
120	B	018	D			
120	B	019	C			
120	B	020	B			
120	B	021	E			
120	B	022	A			
120	B	023	A			
120	B	024	E			
120	B	025	E			
120	B	026	B			
120	B	027	B			
120	B	028	D			
120	B	029	C			
120	B	030	C			
120	B	031	B			
120	B	032	A			
120	B	033	E			
120	B	034	D			
120	B	035	D			
120	B	036	B			
120	B	037	B			
120	B	038	D			
120	B	039	C			
120	B	040	B			
120	B	041	A			
120	B	042	D			
120	B	043	E			
120	B	044	D			
120	B	045	B			
120	B	046	C			
120	B	047	B			
120	B	048	B			
120	B	049	E			
120	B	050	A			
120	C	001	D			
120	C	002	B			
120	C	003	A			
120	C	004	B			
120	C	005	A			
120	C	006	E			
120	C	007	D			
120	C	008	C			
120	C	009	E			
120	C	010	C			
120	C	011	E			
120	C	012	C			
120	C	013	A			
120	C	014	D			
120	C	015	E			
120	C	016	D			
120	C	017	E			
120	C	018	C			
120	C	019	D			
120	C	020	E			
120	C	021	B			
120	C	022	D			
120	C	023	A			
120	C	024	E			
120	C	025	E			
120	C	026	D			
120	C	027	C			
120	C	028	E			
120	C	029	B			
120	C	030	E			
120	C	031	D			
120	C	032	B			
120	C	033	AE			
120	C	034	DE			
120	C	035	BE			
120	C	036	B			
120	C	037	C			
120	C	038	C			
120	C	039	A			
120	C	040	E			
120	C	041	E			
120	C	042	E			
120	C	043	D			
120	C	044	B			
120	C	045	C			
120	C	046	A			
120	C	047	E			
120	C	048	E			
120	C	049	C			
120	C	050	D			
120	C	051	C			
120	C	052	E			
120	C	053	E			
120	C	054	E			
